Category,Item,Use / Purpose,Why We Need It,Free?,Free Tier Details,Signup / URL,Notes,Env Var Name,Status
Payment,Amex vPayment / ACE,"Issues a single-use virtual card locked to one amount and one date, used to pay for the replacement flight/hotel/cab","Makes the ""agent can never overspend"" safety claim real instead of a policy promise",No,"Commercial / select-developer only, no public sandbox found",Ask mentor for hackathon access,Primary choice if Amex grants access in time,"AMEX_VPAY_API_KEY, AMEX_VPAY_API_SECRET",⏭️ Skipped
Payment,Stripe Issuing (test mode),Fallback single-use virtual card with the same amount+date lock mechanic,Lets you demo the same payment safety guarantee without waiting on an Amex partnership,Yes,Test mode is free with unlimited fake test cards,https://stripe.com/issuing,Recommended fallback if Amex sandbox isn't available in time,STRIPE_SECRET_KEY,🔴 Still needed
Weather,NOAA Aviation Weather Center (METAR/TAF/SIGMET/PIREP),"Feeds the #1 weighted risk factor (~34%): visibility vs. runway minima, crosswind vs. runway heading",Weather is the single largest driver of Indian domestic cancellations,Yes,"Fully free public API, no key, no signup",https://aviationweather.gov/data/api/,Best primary source - use this one first,No key required — public API,➡️ No key needed
Weather,Open-Meteo,General weather forecast as a backup / non-aviation context signal,Free fallback if the NOAA endpoint is unavailable,Yes,"Free for non-commercial use, up to 10000 calls/day, no key",https://open-meteo.com/,Not aviation-grade (no visibility/crosswind) - backup only, not primary,No key required — public API,➡️ No key needed
Weather,IMD (India Meteorological Dept),India-specific aerodrome forecasts and warnings,Localizes the weather signal to Indian airports specifically,Partial,Free but needs registration/MoU,https://mausam.imd.gov.in/,Ask mentor if IIT Madras has institutional access,IMD_API_KEY,⏭️ Skipped
Flight status / schedule,AviationStack,Detects the actual disruption event (cancellation/delay) that triggers the WATCH phase,This is the most important feed in the whole system - no trigger without it,Yes (limited),"100 requests/month free, 1 req per 60s rate limit on free tier",https://aviationstack.com/,"Already sandboxed per your docs - verify the key still works; too limited for live polling at scale ⚠️ Caution: 100 requests/month + 1 req/60s free-tier cap — app now calls this on-demand only (never polled) with per-flight-per-day caching, but sustained demo/rehearsal traffic could still exhaust the monthly cap. Needs mentor discussion on usage budget before demo day.", fine for a scripted demo,AVIATIONSTACK_API_KEY,✅ Have it
Flight status / schedule,OpenSky Network,ADS-B aircraft position data - helps infer inbound aircraft position/delay (the rotation feature),Free real-time aircraft position feed for the aircraft-rotation risk feature,Yes,Anonymous: 400 requests per 2.2 hours; registered account: ~8000 credits/day,https://opensky-network.org/,Good free source specifically for the rotation feature,"OPENSKY_CLIENT_ID, OPENSKY_CLIENT_SECRET",✅ Have it
Flight status / schedule,FlightAware AeroAPI,"Status, position, tail-number linkage, alerts",Best tail-number-linked rotation data - the 2nd heaviest risk feature (~26%),Yes (small),"Personal tier: about $5 of free monthly query usage, personal/academic use only",https://www.flightaware.com/commercial/aeroapi/,"Enough for demo-scale queries ⚠️ Caution: bills the linked card past ~$5/month of usage — key is retained in .env.local/.env.example for future use but is deliberately NOT called by any integration code in this MVP pass, specifically to avoid surprise billing. Needs mentor sign-off before enabling live calls.", not production volume,FLIGHTAWARE_API_KEY,✅ Have it
Flight status / schedule,Cirium (FlightStats),"Industry-reference schedules, status, cancellations, tail linkage",Ideal production-grade trigger feed,No,Enterprise, quote-only,https://www.cirium.com/,Ask mentor if Amex can broker hackathon access,CIRIUM_API_KEY,⏭️ Skipped
Historical baselines,DGCA monthly reports / india-aviation-traffic dataset,Per-carrier and per-route cancellation-rate history used to seed the initial model weights,Sets the prior risk baseline independent of today's weather/rotation,Yes,"Free, published; a community-scraped CSV dataset already exists on GitHub",https://github.com/Vonter/india-aviation-traffic,Much faster than scraping dgca.gov.in yourself,No key — static dataset URL,➡️ No key needed
Booking - flights,Duffel,Real flight search + book + cancel in a sandbox,Makes the rollback/compensation demo real instead of narrated,Yes,"Free sandbox, unlimited test balance; Duffel even publishes a hackathon starter kit",https://duffel.com/,Use the Duffel Airways sandbox airline (LHR-JFK) for reliability,DUFFEL_ACCESS_TOKEN,✅ Have it
Booking - flights,Sabre Dev Studio,Broader Indian-carrier GDS coverage for search/price/book,Wider domestic-carrier coverage than Duffel alone,Yes (sandbox only),Free self-serve sandbox; production access requires a paid agreement,https://developer.sabre.com/,Good for the demo; not usable for real production booking,"SABRE_CLIENT_ID, SABRE_CLIENT_SECRET",✅ Have it
Booking - hotels,LiteAPI (Nuitee Connect),Real hotel search + book + cancel in a sandbox,Needed for the duty-of-care hotel leg (Outcome C - next-day recovery),Yes,"Free sandbox, no credit card required; test card 4242 4242 4242 4242",https://liteapi.travel/,Already sandboxed per your docs - verify the key still works,LITEAPI_API_KEY,✅ Have it
Booking - ground,Uber / Ola API,Airport transfer booking,Completes the third leg of recovery (flight + hotel + cab),No,"Partner-only, no open sandbox found",-,Recommend keeping this mocked and stating that plainly to judges,UBER_API_KEY,⏭️ Skipped
Reasoning / LLM,Anthropic Claude API,"Powers the WARM-phase tool-calling planning and the plain-language """"why we recommend this"""" explanation","This is the biggest gap today - zero LLM calls exist anywhere in the repo, despite it being the headline architecture claim",Yes (small),New accounts get a small trial credit (roughly $5); academic/research applicants can get up to $20000 over 6 months; occasional hackathon-specific credit programs,https://console.anthropic.com/,Not used — team chose Gemini instead (see Google Gemini API row),ANTHROPIC_API_KEY,⚫ Not used
Reasoning / LLM,Google Gemini API,"Powers the WARM-phase tool-calling planning and the plain-language ""why we recommend this"" explanation",Chosen reasoning provider for this build — replaces the Anthropic/OpenAI placeholder in the original sheet,Yes,No credit card required; free tier via Google AI Studio (Gemini 2.5 Flash: 10 RPM / 250 requests per day; Flash-Lite: 15 RPM / 1000 requests per day),https://aistudio.google.com/apikey,Team decision: using Gemini instead of Anthropic/OpenAI for reasoning,GEMINI_API_KEY,✅ Have it
Reasoning / LLM,OpenAI API,Alternative LLM provider for the same tool-calling role,Fallback / comparison to the Anthropic option,Yes (small),New accounts get a limited free trial credit (varies),https://platform.openai.com/,Not used — team chose Gemini instead (see Google Gemini API row),OPENAI_API_KEY,⚫ Not used
Compliance reference,DPDP Act 2023 text,Governs PNR/passport/payment data handling,Compliance grounding already cited in your docs - keep the reference current,Yes,Public law text,https://www.meity.gov.in/,No API - just the reference document, no build cost,"Reference doc only, not an API",➡️ No key needed
Compliance reference,DGCA CAR Section 3 Series M Part IV,Duty-of-care entitlement thresholds (meals/hotel/alternate flight),Currently carries the unverified `deck` evidence tier in your docs - needs a primary-source re-check,Yes,Public regulation text,https://www.dgca.gov.in/,Your own docs already flag this as outstanding - re-retrieve before final submission,"Reference doc only, not an API",➡️ No key needed
