carrier,origin,dest,month,scheduled_flights,cancelled_flights
AI,MAA,DEL,1,63,1.845
AI,MAA,DEL,2,64,1.838
AI,MAA,DEL,3,61,1.509
AI,MAA,DEL,4,55,1.319
AI,MAA,DEL,5,57,1.432
AI,MAA,DEL,6,57,1.411
AI,MAA,DEL,7,60,1.438
AI,MAA,DEL,8,61,1.548
AI,MAA,DEL,9,64,1.343
AI,MAA,DEL,10,64,1.971
AI,MAA,DEL,11,57,1.785
AI,MAA,DEL,12,63,1.907
AI,DEL,MAA,1,56,1.882
AI,DEL,MAA,2,57,1.501
AI,DEL,MAA,3,56,1.171
AI,DEL,MAA,4,62,1.557
AI,DEL,MAA,5,65,1.378
AI,DEL,MAA,6,61,1.343
AI,DEL,MAA,7,55,1.342
AI,DEL,MAA,8,58,1.438
AI,DEL,MAA,9,54,1.25
AI,DEL,MAA,10,63,1.441
AI,DEL,MAA,11,64,1.638
AI,DEL,MAA,12,57,2.13
AI,BOM,DEL,1,88,2.768
AI,BOM,DEL,2,85,2.042
AI,BOM,DEL,3,91,1.835
AI,BOM,DEL,4,96,2.095
AI,BOM,DEL,5,84,1.951
AI,BOM,DEL,6,86,2.813
AI,BOM,DEL,7,89,2.455
AI,BOM,DEL,8,95,2.831
AI,BOM,DEL,9,96,2.681
AI,BOM,DEL,10,94,1.871
AI,BOM,DEL,11,90,1.919
AI,BOM,DEL,12,87,2.5
AI,DEL,BOM,1,99,3.425
AI,DEL,BOM,2,95,2.944
AI,DEL,BOM,3,95,2.229
AI,DEL,BOM,4,96,1.965
AI,DEL,BOM,5,87,2.123
AI,DEL,BOM,6,91,2.205
AI,DEL,BOM,7,82,2.705
AI,DEL,BOM,8,97,2.433
AI,DEL,BOM,9,92,2.101
AI,DEL,BOM,10,99,2.255
AI,DEL,BOM,11,98,2.548
AI,DEL,BOM,12,85,3.193
AI,DEL,BLR,1,70,2.472
AI,DEL,BLR,2,70,1.916
AI,DEL,BLR,3,75,1.767
AI,DEL,BLR,4,74,1.599
AI,DEL,BLR,5,63,1.47
AI,DEL,BLR,6,72,1.715
AI,DEL,BLR,7,68,1.758
AI,DEL,BLR,8,69,1.586
AI,DEL,BLR,9,68,1.573
AI,DEL,BLR,10,69,1.565
AI,DEL,BLR,11,68,1.782
AI,DEL,BLR,12,74,2.257
AI,BLR,DEL,1,73,2.088
AI,BLR,DEL,2,75,2.05
AI,BLR,DEL,3,73,1.506
AI,BLR,DEL,4,67,1.414
AI,BLR,DEL,5,72,1.817
AI,BLR,DEL,6,74,1.637
AI,BLR,DEL,7,68,1.486
AI,BLR,DEL,8,65,1.692
AI,BLR,DEL,9,70,1.641
AI,BLR,DEL,10,66,1.378
AI,BLR,DEL,11,63,1.324
AI,BLR,DEL,12,75,1.973
AI,BLR,MAA,1,42,1.08
AI,BLR,MAA,2,42,0.835
AI,BLR,MAA,3,44,0.87
AI,BLR,MAA,4,43,1.01
AI,BLR,MAA,5,45,0.879
AI,BLR,MAA,6,42,1.087
AI,BLR,MAA,7,41,1.078
AI,BLR,MAA,8,49,1.19
AI,BLR,MAA,9,44,1.114
AI,BLR,MAA,10,44,1.311
AI,BLR,MAA,11,43,1.279
AI,BLR,MAA,12,48,1.238
AI,MAA,BLR,1,41,0.83
AI,MAA,BLR,2,49,0.931
AI,MAA,BLR,3,42,0.861
AI,MAA,BLR,4,42,1.047
AI,MAA,BLR,5,41,0.894
AI,MAA,BLR,6,43,1.014
AI,MAA,BLR,7,44,0.906
AI,MAA,BLR,8,48,1.317
AI,MAA,BLR,9,42,1.162
AI,MAA,BLR,10,47,1.171
AI,MAA,BLR,11,44,1.444
AI,MAA,BLR,12,43,1.093
AI,BOM,GOI,1,43,1.035
AI,BOM,GOI,2,43,0.88
AI,BOM,GOI,3,41,0.985
AI,BOM,GOI,4,38,0.855
AI,BOM,GOI,5,39,1.029
AI,BOM,GOI,6,36,1.31
AI,BOM,GOI,7,38,1.558
AI,BOM,GOI,8,37,1.432
AI,BOM,GOI,9,36,1.162
AI,BOM,GOI,10,42,1.034
AI,BOM,GOI,11,40,0.805
AI,BOM,GOI,12,39,0.759
AI,GOI,BOM,1,43,0.995
AI,GOI,BOM,2,42,0.817
AI,GOI,BOM,3,38,0.883
AI,GOI,BOM,4,39,0.97
